ClientId,Segment,Language,RequestType,Tone,Priority,HasImageAttachment,SelectedOffice,SelectedManager,AssignmentReason,Summary
85c96430-f0e9-f011-8406-0022481ba51f,VIP,RU,AppFailure,Neutral,8,False,Алматы,Менеджер 18,Assigned by office filter + hard skills + round robin. CandidatePool=4.,Client message: Добрый день. Classified as AppFailure with Neutral tone.
80c6ed25-45f0-f011-8406-0022481ba5f0,Mass,RU,Consultation,Neutral,4,False,Караганда,Менеджер 1,Assigned by office filter + hard skills + round robin. CandidatePool=2.,Client message: Добрый день. Classified as Consultation with Neutral tone.
6f860ff9-cc01-f111-8407-0022481ba3d1,VIP,RU,Consultation,Negative,5,False,Усть-Каменогорск,Менеджер 42,Assigned by office filter + hard skills + round robin. CandidatePool=1.,Client message: Я на вас в суд подам. Classified as Consultation with Negative tone.
6f129f43-ecfa-f011-8406-0022481bad7e,Mass,ENG,Consultation,Neutral,4,False,Алматы,Менеджер 18,Assigned by office filter + hard skills + round robin. CandidatePool=4.,"Client message: Hello,

I am trying to complete my account verification, but my proof of address keeps
getting rejected only because it is in my local language (Azerbaijani). Classified as Consultation with Neutral tone."
68086831-220b-f111-8407-0022481baa2c,Mass,KZ,Consultation,Positive,3,False,Атырау,Менеджер 23,Assigned by office filter + hard skills + round robin. CandidatePool=2.,"Client message: RE: Саламатсыздарма, қандай облигация теңгеге алуға болады. Classified as Consultation with Positive tone."
6396447c-daf1-f011-8406-0022481ba303,Mass,ENG,Consultation,Neutral,4,False,Шымкент,Менеджер 27,Assigned by office filter + hard skills + round robin. CandidatePool=1.,"Client message: Hello, im blocked in your app. Classified as Consultation with Neutral tone."
5d29d98c-55fb-f011-8406-0022481baa2c,Mass,KZ,Consultation,Neutral,4,False,Кызылорда,Менеджер 16,Assigned by office filter + hard skills + round robin. CandidatePool=2.,"Client message: FW: Менде облигация сатып алуға бұйрық орындалмау да, неге. Classified as Consultation with Neutral tone."
591d3e1d-ebf8-f011-8406-0022481ba046,Mass,ENG,Consultation,Negative,5,False,Шымкент,Менеджер 27,Assigned by office filter + hard skills + round robin. CandidatePool=1.,"Client message: Hey, there. Classified as Consultation with Negative tone."
493fd23b-ad01-f111-8407-0022481baec1,Mass,ENG,Consultation,Neutral,4,False,Алматы,Менеджер 15,Assigned by office filter + hard skills + round robin. CandidatePool=4.,Client message: Уважаемые коллеги. Classified as Consultation with Neutral tone.
4071842c-10df-f011-8406-0022481ba2e6,Mass,ENG,Claim,Neutral,7,False,Алматы,Менеджер 11,Assigned by office filter + hard skills + round robin. CandidatePool=4.,Client message: 125$ не пришло на счет. Classified as Claim with Neutral tone.
3692ae0e-f5ef-f011-8406-0022481ba5f0,Mass,RU,Claim,Neutral,7,False,Павлодар,Менеджер 6,Assigned by office filter + hard skills + round robin. CandidatePool=3.,Client message: Sms не приходят. Classified as Claim with Neutral tone.
2a99d51e-7dfb-f011-8406-0022481bac13,Mass,KZ,AppFailure,Negative,9,False,Кызылорда,Менеджер 4,Assigned by office filter + hard skills + round robin. CandidatePool=2.,Client message: Men ruyxatdan utolmayapman sabab nima. Classified as AppFailure with Negative tone.
16a8690e-4aec-f011-8406-0022481bad7e,VIP,RU,Consultation,Neutral,4,False,Астана,Менеджер 22,Assigned by nearest-city fallback + hard skills + round robin. CandidatePool=3.,Client message: Здравствуйте. Classified as Consultation with Neutral tone.
136d32a0-bafd-f011-8406-0022481ba51f,Mass,ENG,Consultation,Neutral,4,False,Шымкент,Менеджер 27,Assigned by office filter + hard skills + round robin. CandidatePool=1.,Client message: Ваша компания ведет себя как мошенническая структура. Classified as Consultation with Neutral tone.
117af0c4-cb00-f111-8407-0022481ba51f,VIP,RU,Consultation,Negative,5,False,Астана,Менеджер 43,Assigned by nearest-city fallback + hard skills + round robin. CandidatePool=3.,"Client message: Срочно срочно срочно 
Прошу вас удалить мои персональные данные,отзываю согласие на их обработку и
прекратить любые звонки и смс
Отправлено из Mail для Android. Classified as Consultation with Negative tone."
